Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"The Marriott Royal si the perfect hotel for business or leisure travel. It is ideally located in Bristol, close to all of the restaurants, nightlife and attractions. The hotel is superbly maintained and has lots of rich history.",,https://www.tripadvisor.co.uk/Profile/TexasGator1987,TexasGator1987 wrote a review Feb 2017,TexasGator1987,"Dallas, Texas",40 contributions,35 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461169786-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Perfect hotel in Bristol,Date of stay: January 2017,,,,
Beautiful property centrally located within walking distance of everything we needed in Bristol. Rooms were spacious and staff were very helpful.  Lobby and drawing room were particularly lovely with a tea and cocktail menu. Would happily visit again. ,,https://www.tripadvisor.co.uk/Profile/718sineadf,Sinead F wrote a review Feb 2017,Sinead F,"Dublin, Ireland",50 contributions,29 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r461005303-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful Property!,Date of stay: February 2017,,,,
"I felt well looked after at this hotel, from the moment my partner and I arrived for his Birthday weekend the reception staff made us welcome and checked us in although we were very early.  Throughout our 2 night stay I could not fault any of the staff.  The room we had on the top floor had a great view of the river, it didn't bother me but was probably a little small for this price range.  It had everything necessary, good toiletries, in a well laid out bathroom, the bed was very comfortable.  The leisure suite was good we used the pool, a little cold for my other half but OK for swimming and we both enjoyed the jacuzzi which was a good size and warm.  We didn't use the parking at £16 a night it was around the same price as us going to Bristol by train.  The location is perfect",,https://www.tripadvisor.co.uk/Profile/nikwold,nikwold wrote a review Feb 2017,nikwold,"Tiverton, United Kingdom",9 contributions,7 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r460923946-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good location and excellent friendly staff.,Date of stay: January 2017,,,,
Just back from a night at this hotel. Lovely large quiet room on the ground floor. Comfortable bed and well appointed bathroom. Breakfast was ok but a buffet as is usual ; I really don't like buffets! Car parking in site which is a bonus in Bristol though you are charged £16 per 24 hours. I would stay here again when visiting the city ,,https://www.tripadvisor.co.uk/Profile/Surreyadventurer,Surreyadventurer wrote a review Feb 2017,Surreyadventurer,"Twickenham, United Kingdom",50 contributions,22 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r460054654-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Well situated hotel,Date of stay: February 2017,,,,
A nice old hotel which is exactly what it is a bit old if you look beneath the surface.  Had difficulty in the room trying to find a socket that would reach a mirror ! Woman's issue and if you sat at the table to do your makeup then your out of luck unless your 10 foot tall.  Don't get me wrong the hotel is fine but fine isn't what I want.  It is massive and we had the furthest away room imaginable but it was very very quiet until the pubs roll out then your in for a treat not that it bothers me but girls singing outside the bedroom window at 4.30 taking selfies and we were on the ground floor is not what I had in mind but they were harmless and having fun.  The hotel could not be situated better for town you are literally out the door and in town which was great for us. ,,https://www.tripadvisor.co.uk/Profile/JenV68,JenV68 wrote a review Feb 2017,JenV68,"Forfar, United Kingdom",17 contributions,9 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r459904906-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Family birthday weekend ,Date of stay: February 2017,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 15 Feb 2017",Responded 15 Feb 2017,"Thank you for taking the time to provide your feedback, we were pleased that you enjoyed the majority of your stay with us, even when challenged with outside noise and bedroom facilities.  We will pass on your breakfast comments onto Chef.",
So refreshing to get a genuine helpful rather than plastic welcome at reception. Have now stayed twice at this hotel in the last 6 months and both times got a spacious room at a decent rate for Bristol. Attentive staff made the stay pleasant and gym was not very busy in the morning so again an enjoyable experience. Will definitely return next time I need to stay in Bristol.,,https://www.tripadvisor.co.uk/Profile/776alano,Alan O wrote a review Feb 2017,Alan O,"Crediton, United Kingdom",117 contributions,77 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r459731119-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Usual high standard,Date of stay: January 2017,,,,
"My wife and i had a one night stay at the Marriott Bristol last week for my wifes birthday. The room was very nice, the bed comfortable and received a very welcoming glass of wine while checking in. The staff are excellent and very friendly and the breakfast was very good. I made use of the pool and the sauna and hot tub, and was delighted that these were not in great demand, so plenty of space to spend a nice hour or so to myself. All in all, a very nice stay.",,https://www.tripadvisor.co.uk/Profile/309GaryL,Gary L wrote a review Feb 2017,Gary L,"Exeter, United Kingdom",40 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r459586151-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Just for the night.,Date of stay: February 2017,,,,
"Attending (and working at)  a 3 conference held at the Marriot.  Did not stay in a room there but the staff were very professional and helpful.   We used the whole conference suite, had buffet food (3 days) and  a formal dinner 1 night.  The buffets and snacks were first rate (always lots of fruit and healthy options)  and the several restaurant meals I have had there were also good.   Whilst the décor is classic ""grand hotel"" rather than modern it is well kept and clean.  The staff are efficient, helpful and cheerful. none of our ""emergencies"" phased them at all.      The only downside is the underground car park is small, difficult to park in due to concrete pillars and it is expensive.    ",,https://www.tripadvisor.co.uk/Profile/phaedsys,phaedsys wrote a review Feb 2017,phaedsys,Tamworth UK,103 contributions,30 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r459205092-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Conference facilites for 3 day conference,Date of stay: November 2016,,,,
Booked to stay here due to great location just off park street with great bars and pubs around . Hotel was a you expect excellent . Free complimentary wine on arrival and nice staff and good service . Food was good in the hotel as well and rooms were great . Definitely first choice when next in Bristol ,,https://www.tripadvisor.co.uk/Profile/955MattH,Matt H wrote a review Feb 2017,Matt H,"Ilminster, United Kingdom",77 contributions,35 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r458986858-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Central Location Bristol Night Out,Date of stay: February 2017,,,,
"Disappointing.  Numerous issues with room-woken by noise from adjacent room, broken lamp, insufficient supplies in the room for the number of people.  When housekeeping were rung it took ages and several calls until issues were rectified.  Room was cold and no blankets available or pillows in the whole hotel. Leisure facilities were good but only 2 female showers available for this large hotel so queues at times. Also dated couches instead of heated granite ones. A partial reimbursement was offered but fell quite short in compensatory terms. Staff are kind and helpful and the food excellent. ",,https://www.tripadvisor.co.uk/Profile/Maximus1000,Maxine M wrote a review Feb 2017,Maxine M,,3 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r457700680-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Disappointing,Date of stay: February 2017,"Response from BRSRY, Guest Relations Manager at Bristol Marriott Royal Hotel
Responded 7 Feb 2017",Responded 7 Feb 2017,"Good afternoon,  Thank you for providing us with your valuable feedback, we were very sorry to learn of the guest challenges you experienced during your recent stay, for which we apologise.  Be assured that your comments have been shared amongst the appropriate teams for their review and action.",
"Lovely old building warm welcome on arrival from reception staff. Room on second floor fairly large room kingsize bed very comfy good nites sleep. Again bathroom  was nice bath / shower which took a while to set water temperature. Fairly quite overnite all in most pleasant stay,",,https://www.tripadvisor.co.uk/Profile/happy59traveller,happy59traveller wrote a review Feb 2017,happy59traveller,"Coventry, United Kingdom",88 contributions,34 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r457652573-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Overnite stay,Date of stay: February 2017,,,,
